,bids_id,condition,hypnosis_depth,procedure,description,session,Visual_lh_delta,Visual_lh_theta,Visual_lh_alpha,Visual_lh_beta,Visual_lh_gamma,Visual_rh_delta,Visual_rh_theta,Visual_rh_alpha,Visual_rh_beta,Visual_rh_gamma,Somatomotor_lh_delta,Somatomotor_lh_theta,Somatomotor_lh_alpha,Somatomotor_lh_beta,Somatomotor_lh_gamma,Somatomotor_rh_delta,Somatomotor_rh_theta,Somatomotor_rh_alpha,Somatomotor_rh_beta,Somatomotor_rh_gamma,DorsalAttention_lh_delta,DorsalAttention_lh_theta,DorsalAttention_lh_alpha,DorsalAttention_lh_beta,DorsalAttention_lh_gamma,DorsalAttention_rh_delta,DorsalAttention_rh_theta,DorsalAttention_rh_alpha,DorsalAttention_rh_beta,DorsalAttention_rh_gamma,VentralAttention_lh_delta,VentralAttention_lh_theta,VentralAttention_lh_alpha,VentralAttention_lh_beta,VentralAttention_lh_gamma,VentralAttention_rh_delta,VentralAttention_rh_theta,VentralAttention_rh_alpha,VentralAttention_rh_beta,VentralAttention_rh_gamma,Limbic_lh_delta,Limbic_lh_theta,Limbic_lh_alpha,Limbic_lh_beta,Limbic_lh_gamma,Limbic_rh_delta,Limbic_rh_theta,Limbic_rh_alpha,Limbic_rh_beta,Limbic_rh_gamma,Frontoparietal_lh_delta,Frontoparietal_lh_theta,Frontoparietal_lh_alpha,Frontoparietal_lh_beta,Frontoparietal_lh_gamma,Frontoparietal_rh_delta,Frontoparietal_rh_theta,Frontoparietal_rh_alpha,Frontoparietal_rh_beta,Frontoparietal_rh_gamma,Default_lh_delta,Default_lh_theta,Default_lh_alpha,Default_lh_beta,Default_lh_gamma,Default_rh_delta,Default_rh_theta,Default_rh_alpha,Default_rh_beta,Default_rh_gamma,Medial_Wall_lh_delta,Medial_Wall_lh_theta,Medial_Wall_lh_alpha,Medial_Wall_lh_beta,Medial_Wall_lh_gamma,Medial_Wall_rh_delta,Medial_Wall_rh_theta,Medial_Wall_rh_alpha,Medial_Wall_rh_beta,Medial_Wall_rh_gamma
0,1,experience1,6.0,whitenoise,hypnosis,1,1.111746874134997e-25,5.1517177054187436e-26,4.3407401785224967e-26,2.476823798251665e-26,1.664870770681789e-26,1.2483505222494477e-25,4.568175765255175e-26,3.724676296783012e-26,2.210839866482618e-26,1.5211430784021682e-26,1.4497404684619246e-26,6.251072884284906e-27,5.208555530223259e-27,3.296531173902471e-27,2.280444187974273e-27,5.704598374998965e-26,1.9027098219939407e-26,1.660155291895887e-26,1.0357107380903438e-26,7.386577535692284e-27,7.309358420680366e-26,3.469786676174046e-26,2.673399339929166e-26,1.5480663598789316e-26,9.814530247779171e-27,1.477475493849851e-25,5.630208811039279e-26,4.857713318036473e-26,2.837042262116831e-26,1.979318952337974e-26,5.549464927909457e-26,2.3891845585577836e-26,1.6760486446975946e-26,1.0805266745257507e-26,7.624532011340185e-27,1.4105918835364667e-25,5.175000753979277e-26,4.131803875514771e-26,2.5255070751710727e-26,1.767661860246807e-26,1.9990536629188823e-25,8.677000326723473e-26,6.731834683925549e-26,3.874574171046064e-26,2.5922576059173624e-26,2.430069860023999e-25,9.257350113264264e-26,6.789181077508764e-26,4.146005132024405e-26,2.861963714077682e-26,4.478794597794787e-26,1.978789579703653e-26,1.3866051703913928e-26,9.369615300382272e-27,6.775215104975474e-27,1.11639718474173e-25,4.451603114541661e-26,3.474100684885521e-26,2.079097355696452e-26,1.4513950631952735e-26,4.973849595289429e-26,2.143412969556607e-26,1.538379021618524e-26,1.0193824752165142e-26,7.232261193619891e-27,2.659720127566671e-26,1.315551041370092e-26,1.1445777723084376e-26,6.547029869725515e-27,4.25372193585417e-27,9.945890463986734e-25,4.647044384717494e-25,3.51722501708261e-25,2.0275864156128872e-25,1.3232406983456602e-25,9.532496730263241e-25,4.3424828647921525e-25,3.289704903553817e-25,1.9054268528675737e-25,1.2496122800869197e-25
1,1,experience2,7.0,relaxation,control,2,5.410946535209901e-26,3.7476911709715656e-26,3.2950588154309755e-26,1.7278010179923144e-26,9.16492732907335e-27,9.666260825156016e-26,4.896685453678322e-26,3.686607057528457e-26,2.2926526126573943e-26,1.48893127885061e-26,1.7182256144634704e-26,9.312552171164998e-27,7.135067485143838e-27,4.285841843709209e-27,2.7780441029208036e-27,4.571026120527419e-26,2.411759195730199e-26,1.844824441310568e-26,1.2229282379107471e-26,8.243798203187443e-27,1.4559588197819579e-25,7.834488604994333e-26,6.235956969681343e-26,3.05435639320836e-26,1.5694561104284147e-26,7.147064397093813e-26,4.303610048174662e-26,3.708562088314976e-26,2.1440197926964654e-26,1.2788094017974755e-26,1.267040057736654e-25,6.448075182528207e-26,4.64298304946086e-26,2.4513726727356606e-26,1.4633321323469978e-26,1.2982204298171457e-25,6.541755143816342e-26,4.929525191330554e-26,3.000246034327702e-26,1.949043923939668e-26,2.153314144696872e-25,1.176984273985368e-25,9.2584615212956e-26,4.8107504349593406e-26,2.6394331735005303e-26,3.4352628548790853e-25,1.7224471671078342e-25,1.2511268963923148e-25,7.050932456918409e-26,4.3408416702036727e-26,1.1273327605824374e-25,5.718520708070929e-26,4.078759227329514e-26,2.2578423929346942e-26,1.36992930150892e-26,1.1379156330110862e-25,5.917072107673012e-26,4.538073175968868e-26,2.588835124023468e-26,1.599181491490415e-26,1.2039447679980527e-25,6.177939668082316e-26,4.37981688233222e-26,2.4266270051340264e-26,1.4714599598458895e-26,3.5147460382599333e-26,2.231872713913992e-26,1.84811351123056e-26,9.159546801565974e-27,4.708101643824737e-27,1.4420103237382724e-24,7.879945127565916e-25,6.099416429144613e-25,3.090553527480999e-25,1.6396809122357685e-25,1.3934126841476151e-24,7.514087658048791e-25,5.768472845936852e-25,2.960856185953517e-25,1.5955524074668389e-25
2,1,experience3,8.0,confusion,hypnosis,3,6.214321651834619e-26,4.57859209981101e-26,3.400737392088969e-26,2.0964011444723675e-26,1.345936086032885e-26,4.125789620386416e-26,2.5851972936766936e-26,2.124951451976536e-26,1.3367317453073866e-26,8.791530885125152e-27,7.632299135897037e-27,4.984224237744355e-27,4.06030980617216e-27,2.3965215629813168e-27,1.5526030723033034e-27,1.6033191915305475e-26,9.382355840544295e-27,8.824509101605448e-27,5.640298358509684e-27,3.8556762690750536e-27,9.222151958552332e-26,6.227066874024895e-26,4.477811715990745e-26,2.519980455324435e-26,1.2318213040357044e-26,5.426362442757814e-26,3.5092127725159516e-26,2.941893855794238e-26,1.799547716919503e-26,1.1298190879778748e-26,5.85009926545798e-26,3.68093508450456e-26,2.66406660552508e-26,1.525930369742347e-26,7.975997642878224e-27,5.584073824422416e-26,3.426891079233214e-26,2.6102875273152937e-26,1.6721495026948942e-26,1.0495016121574768e-26,1.6232202111322098e-25,1.1240904364025466e-25,7.753397057480902e-26,4.612527161375481e-26,2.503495118754299e-26,1.580560457653873e-25,9.978482808164308e-26,7.130587294262535e-26,4.271603316591131e-26,2.326621608817722e-26,5.211064414361362e-26,3.203548484164289e-26,2.2586127832730096e-26,1.3596090210591444e-26,7.295950718114044e-27,6.577046720757791e-26,4.302352806360057e-26,3.085285905775998e-26,1.8935498403706904e-26,1.09169156617152e-26,4.763575913285573e-26,3.067495952117239e-26,2.260276419545138e-26,1.346375303717223e-26,7.267134039157986e-27,3.7555057841384485e-26,2.7143914119301966e-26,2.006060878276059e-26,1.123112400144117e-26,6.399422003166315e-27,1.0776639550342841e-24,7.472803333952187e-25,5.106575997878662e-25,2.9997703028474067e-25,1.5733849293873969e-25,9.758844433276203e-25,6.715594942627394e-25,4.592940991463389e-25,2.699529588220629e-25,1.4079856959856048e-25
3,1,experience4,1.0,embedded,control,4,8.512813767915796e-26,4.829050129797623e-26,3.999359058656522e-26,3.8231280933137e-26,3.595388300698335e-26,7.86268652960428e-26,4.2084816093005664e-26,3.237075811712662e-26,3.1293055478756044e-26,2.673756877634461e-26,1.1295559191126332e-26,7.362115314304277e-27,6.187688164769146e-27,6.494097612689427e-27,6.3152328273650565e-27,3.0975936913212957e-26,1.8538403869594524e-26,1.4817771657351342e-26,1.5174590135742458e-26,1.344002701268648e-26,1.6557326442108376e-25,8.62554986236806e-26,7.079067920790594e-26,5.820368881730245e-26,5.169133692950862e-26,8.457209058807495e-26,4.4189726885450303e-26,3.587954038434206e-26,3.5309224778703865e-26,3.1007877318568524e-26,1.121297878020682e-25,5.92867636804945e-26,4.729050387856525e-26,4.200112225921221e-26,3.7825757766327776e-26,1.1075513985205138e-25,5.71690242678125e-26,4.426748153927715e-26,4.248167091573471e-26,3.696862235365799e-26,2.802291920816372e-25,1.4487046898384585e-25,1.1569187442675125e-25,9.837369895869732e-26,8.85546728901344e-26,3.05032326575831e-25,1.5868283266476223e-25,1.2451458438717506e-25,1.1267182557674571e-25,9.971523902594524e-26,9.374252857882324e-26,4.9573160584848333e-26,4.009578094565144e-26,3.6680197046224296e-26,3.323120945247424e-26,1.2110988316217369e-25,6.109300808178969e-26,4.742193613810454e-26,4.321181895843077e-26,3.841577662911883e-26,9.640284902303158e-26,5.1152273469653655e-26,4.095047120991018e-26,3.729085119721689e-26,3.3308669723177606e-26,5.330340682158875e-26,3.08064226908097e-26,2.6490564278545917e-26,2.1924367372428335e-26,2.064303399650604e-26,1.849853844334609e-24,9.573421407116367e-25,7.698686202145572e-25,6.44484425759564e-25,5.830650247361903e-25,1.7008431978024405e-24,8.784496786674433e-25,7.038298935582447e-25,5.917334077993893e-25,5.327087113012535e-25
4,2,experience1,1.0,relaxation,control,1,5.077589263789619e-25,3.665368430223334e-25,2.3515665598716893e-25,2.13673441613364e-25,2.6018575317421843e-25,2.120975086342065e-25,1.5455936069471655e-25,1.0371078208421786e-25,8.664584527087443e-26,9.872866025167104e-26,6.045283303929446e-27,4.697662632500861e-27,4.556569760549816e-27,3.340669010596022e-27,2.4403700734847924e-27,6.653043247043894e-26,4.709717776379267e-26,3.820023947047821e-26,3.4487389123779824e-26,3.783191799366286e-26,4.419014673594771e-25,3.2052835630245056e-25,2.1748706722004214e-25,1.8595107326839093e-25,2.132587657175803e-25,4.962524916446347e-25,3.6716254056792666e-25,2.7139755835965703e-25,1.8275763116674568e-25,1.6538814718842484e-25,1.6196240815119609e-25,1.0861105776051516e-25,7.745810842731479e-26,6.246991985903348e-26,7.111655780576526e-26,3.2389172414753757e-25,2.2667124084999006e-25,1.9186066500055308e-25,1.6383374859608594e-25,1.773466077182872e-25,1.0558027752055123e-24,7.643157331216383e-25,4.5780871795800425e-25,4.0758250009480455e-25,5.099886496088992e-25,9.34477407489691e-25,6.5034810342401955e-25,3.947090811105571e-25,3.4839530263978835e-25,4.382819717976371e-25,9.831718372469072e-26,6.733110528518705e-26,5.609392766368583e-26,4.03370927885655e-26,4.064852264726986e-26,3.9808137279898405e-25,2.807308889490369e-25,1.7319380363227555e-25,1.4998503942022582e-25,1.8710042574400184e-25,1.0546249670872548e-25,7.728346225816556e-26,5.232476190650073e-26,4.440972939866993e-26,5.163105978294555e-26,1.0539381347201291e-25,7.394219471696159e-26,5.65130900193098e-26,5.648852137722579e-26,6.83655635251118e-26,5.4816193276381825e-24,3.879797372597902e-24,2.3706444549916027e-24,2.1472267424977318e-24,2.6906272029809856e-24,4.8193318504583725e-24,3.387395047592044e-24,2.12137295938467e-24,1.908686917716879e-24,2.3622020350632518e-24
5,2,experience2,0.0,confusion,hypnosis,2,7.162728278873403e-25,4.356285994481418e-25,3.2604075348823697e-25,2.7612483684853857e-25,3.0455508869754707e-25,3.018190244806232e-25,1.8762327967340488e-25,1.4485179416432682e-25,1.15469593139059e-25,1.1810994420567794e-25,5.1198133595064606e-27,3.9104345098133154e-27,3.284902647938413e-27,2.685257739670648e-27,2.2021489669995388e-27,9.520918187166504e-26,6.113894334883353e-26,4.865679045071451e-26,4.4661455663063247e-26,4.787374590549285e-26,6.380339164426579e-25,3.929138764070284e-25,2.95804028108033e-25,2.436479730639727e-25,2.531051733046577e-25,6.2909326459905085e-25,4.086591242731953e-25,3.488917890000685e-25,2.289327804826749e-25,1.8583691130763547e-25,1.914466310460705e-25,1.152858816435611e-25,7.977705855846355e-26,7.108226912595044e-26,7.480831547268132e-26,4.392769939212803e-25,2.8364236490896773e-25,2.3039239255047817e-25,1.9526182308476709e-25,2.0170220575855687e-25,1.5147004851278816e-24,8.855026588364394e-25,6.16847964252593e-25,5.315895478621931e-25,5.943221224868065e-25,1.2538221568935727e-24,7.441724894935933e-25,5.130632818062132e-25,4.376440070521123e-25,4.7814048172945805e-25,1.0172944215517136e-25,6.531825340601989e-26,5.134966331152458e-26,4.173744834231047e-26,4.110051652635869e-26,5.429388290874741e-25,3.1129037910949703e-25,2.101928627320192e-25,1.8786713638140013e-25,2.123617223864588e-25,1.5675862884841739e-25,9.20580844546683e-26,6.575663429979788e-26,5.788648744908457e-26,6.337729071345891e-26,9.738967834753384e-26,6.51411635764799e-26,5.429735064509302e-26,5.488731064468067e-26,5.732405131683066e-26,7.627216266447115e-24,4.524089903110388e-24,3.1423174517582337e-24,2.743654468034633e-24,3.0881994299610213e-24,6.649193206666239e-24,3.952635517496204e-24,2.7723958156043643e-24,2.4110748730714363e-24,2.683956016385494e-24
6,2,experience3,1.0,embedded,hypnosis,3,4.140610511296261e-25,2.32446491598714e-25,1.936687651819318e-25,1.4437923685274494e-25,1.5724713336304738e-25,2.1556707288723017e-25,1.202110185635554e-25,1.1237573127738276e-25,7.117212851980971e-26,6.566160630643219e-26,1.5246508711712582e-26,9.205231717573487e-27,7.762818203856914e-27,4.632858508367227e-27,3.776294272216112e-27,5.106042337884749e-26,3.6752334649304287e-26,3.247034856768759e-26,2.2097353597615782e-26,2.184637209053273e-26,4.344665454387137e-25,2.426764261165065e-25,2.2249088813041677e-25,1.4230887628206454e-25,1.3378642047416164e-25,7.896328045940197e-25,4.187831183255982e-25,4.237656479390166e-25,2.228181207710922e-25,1.5718851620535776e-25,2.791747236071899e-25,1.3081842802062946e-25,9.554698808902278e-26,6.200360702663498e-26,6.477663840778138e-26,3.040975516459882e-25,1.9205553349488524e-25,1.7695412995573662e-25,1.1323759972537947e-25,9.904721139820116e-26,9.98930038805252e-25,4.7093927621543905e-25,3.621088685059824e-25,2.7181158909315354e-25,3.2520801297689006e-25,1.1551438729387018e-24,5.515032274129312e-25,3.947014505781528e-25,2.801406710666802e-25,3.184572282580502e-25,1.6492329056778088e-25,8.735580828680904e-26,6.775083810549644e-26,4.205042218472026e-26,4.210835945764537e-26,4.194595324074469e-25,1.850297826499753e-25,1.2965445970521807e-25,9.775388198110452e-26,1.2680934644892148e-25,1.0129907323603386e-25,5.168953643844832e-26,4.306783436486896e-26,2.9919887636897983e-26,3.14041528824247e-26,2.095853845647044e-25,9.298066719666478e-26,6.899697887684305e-26,5.320879544898411e-26,6.316000192282985e-26,5.0095998806778744e-24,2.445897703032017e-24,1.7618975544986958e-24,1.383856507308362e-24,1.727116180991489e-24,4.465367909075744e-24,2.2133846005767663e-24,1.6430724833004632e-24,1.2462014423951083e-24,1.5059691133716559e-24
7,2,experience4,0.0,whitenoise,control,4,7.300924470806659e-25,3.9204225926277287e-25,3.126377083916659e-25,2.712516823013113e-25,3.2889160020414523e-25,3.071549597580379e-25,1.7381924585042377e-25,1.4378467710470809e-25,1.1543827490535865e-25,1.2906195013737745e-25,1.0466471695455136e-26,8.958977405779486e-27,6.2649392657820725e-27,4.1725380758200546e-27,3.845484530068912e-27,9.942219094162344e-26,5.879220745095175e-26,5.180572741818297e-26,4.275563047905098e-26,4.897503251663494e-26,6.488188829309253e-25,3.6920012238428726e-25,2.9368847434176425e-25,2.397024092024281e-25,2.7348388561782416e-25,6.61657829554314e-25,4.24299345877209e-25,3.619142172057667e-25,2.438608320787729e-25,2.213472159674688e-25,2.5377726248722507e-25,1.5999496317978377e-25,9.672370727600692e-26,7.960837238904262e-26,9.426919987512419e-26,4.65770201338349e-25,2.950606979746636e-25,2.572949615289959e-25,1.9759506123392049e-25,2.1522331616591407e-25,1.5047389630306743e-24,8.105048758891313e-25,5.71073036300536e-25,5.074210133143261e-25,6.3894370420671455e-25,1.3750282798977076e-24,7.61566194571945e-25,5.205588400612963e-25,4.440143911278091e-25,5.552368406174749e-25,1.4173739577201378e-25,8.403983036483911e-26,6.119029866958364e-26,4.888921315321127e-26,5.356526186319341e-26,5.5637571745028275e-25,2.88938517672147e-25,1.9413211572760216e-25,1.7772786259598764e-25,2.3020851719112246e-25,1.6523811565276329e-25,1.0102656484318328e-25,6.642447561423545e-26,5.564043564171549e-26,6.611967534571023e-26,1.253700066223294e-25,7.389617785331774e-26,6.018082385230484e-26,5.464515179405569e-26,6.298491182935851e-26,7.970366104998205e-24,4.17826795832427e-24,3.019924445330379e-24,2.6886313046024453e-24,3.4443865798962314e-24,6.9370480681265e-24,3.664020969960231e-24,2.711352476507625e-24,2.3800283235118243e-24,3.007672591921583e-24
8,3,experience1,7.0,confusion,hypnosis,1,5.779697894682306e-25,1.07191537842328e-25,5.886023430278088e-26,4.1862206939508e-26,2.614973504776204e-26,1.6716561595946935e-24,2.263444360218628e-25,1.2593625114161516e-25,9.921113405511836e-26,6.691793134494861e-26,6.3458181312302325e-25,1.2125801478099843e-25,4.744732360288853e-26,2.702230927457092e-26,1.4004619063775287e-26,7.792462984412856e-25,1.6478461462814778e-25,8.312541708656024e-26,5.258053552361597e-26,2.9674577195964543e-26,6.809272775025842e-25,2.093401756055649e-25,1.2516350725754274e-25,7.758575375128593e-26,4.108303851502329e-26,1.842700649659693e-24,3.13686055735021e-25,1.5229254991161088e-25,1.0184121657466224e-25,6.153699152513432e-26,5.8881056541540365e-24,7.01648850396447e-25,2.701562236758302e-25,1.9025758988299564e-25,1.121172530479736e-25,3.506795329604159e-24,5.502412552800337e-25,2.580637378088877e-25,1.624708514479571e-25,8.944236039469881e-26,7.43964934845034e-24,9.791308312265151e-25,3.970824781937637e-25,2.5089563011145978e-25,1.363587375042366e-25,4.883031045635371e-24,7.6521385889986105e-25,3.96300034609958e-25,2.736828073249639e-25,1.711394751043516e-25,3.456183512386654e-24,4.570760062087977e-25,1.8571234011904402e-25,1.2744371390435514e-25,7.608961029423144e-26,2.565467415213171e-24,5.314501746507741e-25,2.656158607481036e-25,1.7017103948600729e-25,9.896317324281108e-26,2.766983893468369e-24,3.96967559470789e-25,1.6913411855041649e-25,1.1702253679514269e-25,6.771471325506684e-26,1.244856467183301e-24,3.929885979515959e-25,2.140161184740669e-25,1.3746212076223323e-25,8.612017243047944e-26,3.152226812012275e-23,4.539091009355824e-24,1.7859555873039453e-24,1.0808277964917731e-24,5.575798714224765e-25,3.499124530882784e-23,4.5441039510253145e-24,1.7885615267017217e-24,1.149838740792418e-24,6.219014089534061e-25
9,3,experience2,3.0,whitenoise,hypnosis,2,9.427520853891036e-25,2.385024744224918e-25,1.2643763174655284e-25,7.056960252464669e-26,4.056048469985733e-26,2.078606661547676e-25,8.084516259252589e-26,4.74990232909628e-26,2.620682207991472e-26,1.2625393769467875e-26,4.8369334325834486e-26,1.9031630790494182e-26,1.117261097915324e-26,6.791753595789157e-27,3.39493274776082e-27,1.1661353309474752e-24,3.005454782882574e-25,1.5866383768159126e-25,9.589000781805808e-26,5.589638927041013e-26,1.5453954609686241e-24,4.011702159460496e-25,2.0973531854339644e-25,1.1798592809959854e-25,6.699557909404391e-26,1.4713008215703004e-24,3.716361081934022e-25,1.9385565149869601e-25,1.1580284232657565e-25,6.820117305897474e-26,4.758517396367105e-25,1.4000304971379472e-25,8.155120125520083e-26,4.633171139485236e-26,2.4412201954985875e-26,3.636292684955143e-24,8.995599181117395e-25,4.699096494050848e-25,2.763151899957313e-25,1.617031854851848e-25,2.0900183953831406e-24,5.4461089308031045e-25,2.9068162268623154e-25,1.6063099392427658e-25,9.054338530954012e-26,4.245829895898819e-24,1.1043274740095595e-24,5.597893395595062e-25,3.282473643114486e-25,1.9083601578951523e-25,2.533607928532889e-25,1.1087547089655028e-25,7.063399748080965e-26,4.0858997659676e-26,2.034004043985453e-26,2.507578826765623e-24,6.7330285924272575e-25,3.499200903297747e-25,2.1467089270314666e-25,1.253468272753086e-25,2.53229882910996e-25,1.1478254492025486e-25,6.582461514741773e-26,3.775459621573593e-26,1.893382950945411e-26,1.0405420466959183e-24,3.26530159632526e-25,1.7613580951326866e-25,1.0727895050715511e-25,6.1080073235497e-26,7.281706197434986e-24,1.8680294265513702e-24,1.0075972216223958e-24,5.383725516799757e-25,2.9404322093790817e-25,8.129026231926122e-24,2.0342769654124502e-24,1.0810889042767598e-24,5.917389705753061e-25,3.2983164055195087e-25
