,power sensor (delta),power sensor (theta),power sensor (alpha),power sensor (beta),power sensor (gamma),power source (delta),power source (theta),power source (alpha),power source (beta),power source (gamma),wpli source (delta),wpli source (theta),wpli source (alpha),wpli source (beta),wpli source (gamma),correlation source (delta),correlation source (theta),correlation source (alpha),correlation source (beta),correlation source (gamma),correlation sensor (delta),correlation sensor (theta),correlation sensor (alpha),correlation sensor (beta),correlation sensor (gamma),wpli sensor (delta),wpli sensor (theta),wpli sensor (alpha),wpli sensor (beta),wpli sensor (gamma)
0,10.0,0.1,10.0,10.0,10.0,10.0,1.0,10.0,0.01,0.001,0.001,0.01,1.0,0.001,0.001,0.1,0.001,0.01,0.001,0.01,0.001,0.01,0.01,0.001,0.001,0.001,1.0,1.0,1.0,1.0
1,0.001,0.01,10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0,0.01,0.01,0.001,1.0,0.1,0.001,0.001,0.001,0.01,0.001,0.01,0.001,0.001,0.001,0.001,0.001,1.0,0.001,0.01
2,0.1,10.0,0.1,10.0,0.1,10.0,0.1,1.0,0.1,10.0,0.01,0.001,0.01,0.01,0.1,0.1,0.1,0.001,0.001,0.01,0.001,0.01,0.001,0.001,0.001,1.0,0.01,1.0,1.0,0.01
3,10.0,0.1,1.0,0.001,1.0,10.0,10.0,1.0,0.01,1.0,0.01,0.001,0.1,0.001,0.001,0.01,0.01,0.001,0.01,0.01,0.001,0.001,0.001,0.001,0.001,0.001,1.0,0.001,0.01,0.01
4,10.0,0.1,10.0,1.0,10.0,10.0,10.0,1.0,10.0,10.0,0.01,0.001,0.1,0.001,0.01,1.0,0.1,0.001,0.01,0.001,0.001,0.01,0.001,0.001,0.001,0.001,0.001,1.0,1.0,1.0
5,10.0,10.0,10.0,1.0,0.01,10.0,0.1,10.0,0.01,1.0,0.1,0.01,0.01,0.001,0.01,0.01,10.0,0.001,0.01,0.001,0.001,0.001,0.01,0.001,0.001,0.001,1.0,0.01,1.0,1.0
6,0.001,0.1,0.1,1.0,10.0,10.0,1.0,10.0,0.01,0.01,0.01,0.001,0.001,1.0,0.001,0.01,0.1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,0.001,0.01,1.0,1.0
7,10.0,0.01,0.01,10.0,10.0,10.0,0.1,0.001,0.001,0.1,0.01,0.01,0.001,0.001,0.001,0.1,0.001,0.001,0.001,0.1,0.001,1.0,0.001,0.01,0.001,1.0,0.001,1.0,0.01,1.0
8,0.001,0.1,10.0,10.0,10.0,1.0,10.0,10.0,0.1,10.0,0.01,0.01,0.001,0.01,0.01,1.0,0.1,0.001,0.01,0.001,0.01,1.0,0.001,1.0,0.001,1.0,0.01,0.01,0.001,1.0
9,10.0,0.01,0.001,10.0,0.01,10.0,0.1,10.0,0.1,0.1,0.001,0.1,0.1,0.001,0.001,0.1,0.1,0.001,0.001,1.0,0.001,0.001,0.001,0.01,0.001,0.001,0.01,0.001,0.001,0.01
10,10.0,0.1,10.0,10.0,10.0,10.0,1.0,1.0,0.1,1.0,0.001,0.001,0.001,1.0,0.001,0.1,0.01,0.001,0.001,1.0,0.001,0.01,0.01,0.01,0.001,1.0,0.001,0.001,0.001,0.01
11,10.0,0.1,0.1,1.0,10.0,10.0,1.0,0.1,0.1,1.0,0.1,0.01,0.1,0.001,0.001,0.01,0.01,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,0.01,1.0
12,0.001,0.1,1.0,10.0,1.0,0.01,10.0,10.0,1.0,0.1,0.1,0.01,0.01,0.001,0.001,1.0,0.01,0.001,0.01,0.1,1.0,0.001,0.01,0.001,0.01,1.0,0.001,0.01,0.01,1.0
13,10.0,0.1,0.01,10.0,0.01,10.0,10.0,10.0,0.01,0.1,0.001,0.01,0.001,10.0,0.01,10.0,0.1,0.001,0.01,0.001,0.001,0.001,0.001,0.001,0.001,1.0,0.001,0.001,0.01,0.01
14,10.0,1.0,1.0,0.001,1.0,10.0,10.0,10.0,0.01,10.0,0.01,0.001,0.001,0.001,0.001,1.0,0.1,0.001,0.001,0.01,0.001,1.0,1.0,0.001,0.001,1.0,0.001,0.001,0.01,1.0
15,1.0,0.1,0.1,10.0,10.0,1.0,10.0,1.0,1.0,10.0,0.001,0.001,1.0,0.001,0.001,0.1,0.1,0.01,0.01,0.1,0.001,1.0,0.001,0.001,0.001,1.0,0.001,0.001,1.0,0.01
16,0.001,0.1,1.0,10.0,10.0,10.0,10.0,1.0,0.01,0.1,0.01,0.01,0.001,0.1,0.01,0.1,0.001,0.001,0.001,0.1,0.001,0.01,0.001,0.001,0.001,1.0,0.01,0.001,0.001,1.0
17,0.1,0.1,0.1,10.0,1.0,10.0,10.0,0.001,1.0,0.1,10.0,0.01,0.001,0.01,0.001,0.1,0.1,0.001,0.001,0.1,0.01,0.001,0.001,0.001,0.001,0.001,0.001,0.01,0.001,1.0
18,10.0,0.01,0.1,0.001,10.0,10.0,10.0,1.0,0.01,0.01,0.001,0.01,0.01,10.0,0.001,0.1,0.1,0.001,0.001,1.0,0.001,0.001,0.01,0.01,0.001,0.001,0.001,0.001,1.0,1.0
19,0.1,0.001,1.0,1.0,10.0,10.0,0.001,0.001,10.0,0.01,1.0,0.01,0.001,0.001,0.001,0.01,0.1,0.001,0.001,0.001,0.001,0.001,0.01,0.001,0.001,0.001,1.0,0.01,1.0,1.0
20,0.01,0.1,0.1,10.0,1.0,10.0,10.0,1.0,0.1,10.0,1.0,0.01,0.01,0.1,0.001,0.001,0.1,0.01,0.001,0.001,0.001,0.01,0.01,0.001,0.001,1.0,0.001,0.01,1.0,1.0
21,1.0,0.001,1.0,1.0,10.0,10.0,1.0,10.0,10.0,1.0,0.01,0.01,0.01,0.001,0.001,0.001,0.1,0.001,0.01,10.0,1.0,0.01,1.0,0.001,0.001,1.0,0.001,0.001,0.001,1.0
22,10.0,10.0,0.1,10.0,10.0,10.0,10.0,10.0,1.0,0.1,1.0,0.01,0.001,0.001,0.01,0.1,0.1,0.001,0.001,0.001,0.001,0.01,0.01,1.0,0.001,0.001,1.0,0.001,1.0,1.0
23,1.0,10.0,10.0,10.0,1.0,10.0,10.0,10.0,0.01,0.1,0.01,0.01,0.001,10.0,0.001,10.0,10.0,0.001,0.001,0.01,1.0,1.0,0.01,0.001,0.001,0.001,1.0,0.01,0.01,0.01
