bids_id,age_range,attitude_towards_hypnosis,country_of_residence,description_type_1,description_type_2,description_type_3,description_type_4,effective_of_hypnoanalgesia,expectancy_1,expectancy_2,expectancy_3,expectancy_4,experiences_freetext_1,experiences_freetext_2,experiences_freetext_3,experiences_freetext_4,felt_discomfort,felt_discomfort_free_description,gender,hypnosis_depth_1,hypnosis_depth_2,hypnosis_depth_3,hypnosis_depth_4,knowledge_level_on_hypnosis,knowledge_source,knowledge_source_other,language,motivation_to_get_hypnotized,prefered_procedure,procedure_type_1,procedure_type_2,procedure_type_3,procedure_type_4,suspected_control,suspected_real_hypnosis,which_real_hypnosis,which_real_control,tried_hypnosis_before,tried_hypnosis_before_for_pain
1,18 - 24,2,Magyarorszag,hypnosis,control,hypnosis,control,5,6,2,6,2,"kellemes volt, neha kicsit olyan, mintha almodnek. Teljesen random gondolatokat lattam magam elott, peldaul a legzesemmel azonos tempoban fel/le mozgo lotuszviragot.","Eleinte gyakran ereztem ugy, hogy nyilna a szemem, de kis ido mulva teljesen nyugodtnak erezytem magam, szinte akar el is tudtam volna aludni. A testem teljesen relaxalt allapotban volt, a vegtagjaim poziciojat nem tudtam volna megallapitani.","A testemrol szinte semmit nem tudok, azt ereztem, hogy sikerult ellazulni. Ismet alomszeru kepeket lattam magam elott, legfokepp olyan szemelyekkel, dolgokkal kapcsolatban, akikkel mostansag lesz kapcsolatom, talalkozom veluk stb. Teljesen elfelejtettem, hogy hol vagyok, mintha otthon az agyamban fekudtem volna.","Relaxalt voltam ugyan, de az eddigiek kozul most voltam a legkevesbe jelen a nyugalmi allapotomban. Ez az elmelyult allapot tunt a leghosszabbnak.",No,,Female,6,7,8,1,1,Heard/read about it on the internet;,,hun,6,whitenoise,whitenoise,relaxation,confusion,embedded,No,Yes,whitenoise,,No,No
2,18 - 24,4,Magyarország,control,hypnosis,hypnosis,control,8,2,8,7,2,Olyan volt mintha meditáltam volna. Jól esett csendben lenni és valóban el voltam lazulva. ,"Nem éreztem magamat hipnózisban. Ugyan olyan volt mint az előző alkalommal, csak relaxált voltam. Kicsit elálmosodtam.","Nagyon nyugodt és relaxált állapotban voltam. Mintha nem gondolnék semmire, de nem tűnt hppnotikus állapotnak. ",Most voltam a legkevésbé relaxált állapotban. A zaj inkább zavaró volt mind meditáló hatású. Nem voltam nyugodt állapotban  mint a másik 3 esetben. Ásítottam egyszer.,No,,Female,1,0,1,0,5,Heard/read about it on the internet;,,hun,10,embedded,relaxation,confusion,embedded,whitenoise,Yes,Yes,confusion,relaxation,No,No
3,18 - 24,3,Magyar,hypnosis,hypnosis,control,control,3,5,3,3,2,"Igyekeztem ellazítani magam és befele figyelni a gondolataimra, érzéseimre. A hipnózis alatt lehet álmodtam is, de nem tudom teljesen elválasztani ezek valódi \álomképek\"" voltak vagy csak a saját emlékeim gondolataim. ""","Először a zúgás járt a fülemben ami először nagyon idegesítőnek tűnt, aztán arra próbáltam koncentrálni, hogy azt képzelem ez csak a szél hangja. Így már kellemesebb volt a hang. Szerintem az előző változathoz képest ez kevésbé volt számomra hatásos módszer. Jobban szeretem ha a relaxált állapotot vagy csendben vagy beszéd mellett tudom elérni. ","Az eddigi módszerek közül egyértelműen ez volt az amelyben a legkevésbé  mélyültem el. A sapka kicsit kényelmetlen és a nyakam kezd fájni, és nehezebben tudtam koncentrálni.  Az eddigiekhez képest kevesebb kép/gondolat jött elő a relaxáció alatt. ","Most nem éreztem, hogy a hipnózis bármilyen hatással lenne rám, magamat láttam kívülről ahogy ülök a szobában. Általában szeretem amikor a relaxáció során végigveszik hogy milyen testrészt lazítsunk el, ez a rész kifejezetten tetszett viszont amikor csendben ültem valamiért nem tudtam elvonatkoztatni a helyzettől, a sapkától a fejemen stb.",Yes,"Bizonyos esetekben elképzelhetőnek találom, illetve az eddigi tapasztalataim alapján azt gondolom hogy számomra sokkal könnyebben és hatékonyabban megy a relaxáció ha nem ülve kell azt végeznem de ez nem nagyon nagy kellemetlenség inkább csak megjegyzés",Female,7,3,1,0,1,"Heard/read about it on the internet;Heard/read about it on radio, podcast;",,hun,8,confusion,confusion,whitenoise,embedded,relaxation,Yes,No,confusion,relaxation,No,No
4,25 - 34,0,Magyarország,control,hypnosis,hypnosis,control,5,5,5,5,5,"Olyan volt mintha meditáltam volna, az idő rövid volt hozzá így nem tudtam teljesen alfa módba kerülni. Összeséggében azért kitudtam kapcsolódni.","Teljesen ébernek éreztem magam aközben is. Mivel előzőleg beszélt a terapeuta egy olyan témáról ami nem igazám érdekelt, így elkezdtem gondolatban másról elmélkedni és kevésbé figyeltem a terapeutára, emiatt nem tudtam kikapcsolni és végig miközben csendben kellett ülni azon elmélkedtem mikor lesz vége ennek a szaksznak.","Az elején egy ideig olyan érzésem volt mintha aludtam volna, majd jött félidőnél a felébredés élménye. Onnantól már kezdtem egyre éberebnek érezni magam, noha elvileg még elmélyült állapotban kellett volna lennem.","Azt éreztem, hogy nem tudtam ellazulni, próbáltam nem gondolni semmire, de csak még több gondolat jött és tulajdonképpen a szememet is kiynitottam és vártam a végét.",No,,Female,6,0,7,0,2,Heard/read about it on the internet;,,hun,7,relaxation,whitenoise,embedded,relaxation,confusion,Yes,No,embedded,whitenoise,No,No
5,45 - 54,3,Magzar,control,hypnosis,control,hypnosis,8,4,6,5,7,"Par masodperc alatt elaludtam, legalabbis ugy ereztem, hogy elaludtam, es rogton fel is ebredtem.
Ezutan befele figyeltem, nyugodt voltam.
Zavaro volt, hogy a feladat leirasban az volt, hogy ez nem hipnozis, az instrukciokat ado , pedig, mintha tobbszor azt mondta volna, hogy hipnozisban vagyok.
Erre figyeltem kozben, nem a teljes elmelyulesre.","Egy ideig az volt a gondolatom, hogy nem vagyok hipnozisban.
Egyszercsak nagyon hirtelen ellazultam es nagyon nyugodt lettem. 
Olyan fenyes erzes volt.
Regi emlekek jottek kepek formajaban.
Illetve egy mar eltavozott szerettem jelent meg.
:rdekes ;s j= volt.","Kicsit hosszunak tunt es unalmasnak ez az ido.
Ismet zavaro volt, hogy nem volt egyertelmu, hipnozisban vagyok e, vagy sem.","Mar a bevezeto szoveg alatt is, es az elmelyult allapot idoszakaban is tobbszor elaludtam.
Egy ideig ugy ereztem pihenteto a gyakorlat, aztan nagyon szomjas lettem, es vartam, hogy vege legyen.
Talan most voltam a legmelyebb allapotban.",No,,Female,4,7,5,8,4,"Read book(s) about it;Heard/read about it on the internet;Heard/read about it on radio, podcast;",,hun,7,confusion,relaxation,whitenoise,embedded,confusion,No,No,whitenoise,embedded,No,No
6,18 - 24,4,Magyarország,control,hypnosis,control,hypnosis,6,7,9,7,5,"Kellemes élmény volt, figyeltem hogy merre kalandoznak a gondolataim, de közben nyugodt maradtam.","Elálmosodtam, sokat ásítottam. Ugyanakkor arra számítottam, hogy a figyelmem vezetésével, ill. a visszaszámolással jobban el fogok tudni lazulni, ez annyira nem valósult meg mint amire számítottam, de kellemes érzés volt.
(Enyhén elkezdett fájni a fejem.)","Lényegesen kevésbé éreztem magam ellazulva mint az előző 2 alkalommal, az ismeretterjesztő szövegre figyeltem, utána mindenfelé kalandozott a figyelmem, ezalatt éberebbnek érzékeltem magamat az előzőekhez képest.
Ugyanakkor továbbra is sokat ásítozom, ill. kissé fáj a fejem.","A zaj eleinte tengerparti hullámzásra emlékeztetett, de egy idő után zavaróvá vált a monotonsága, majd miután megszokta a fülem, ismét kellemes érzést adott. A hipnózis indukció után nagyon relaxáltnak éreztem magam, kevésbé kalandoztak el a gondolataim mint előző esetekben, inkább csak \a jelenben pihentem\"". Álmosság-érzet enyhe fejfájás.""",Yes,Fejfájás,Female,5,5,2,7,5,"Read scientific literature about hypnosis;Heard/read about it on the internet;Heard/read about it on radio, podcast;",,hun,10,whitenoise,confusion,relaxation,embedded,whitenoise,No,Yes,whitenoise,confusion,No,No
7,18 - 24,1,Magyarorszag,control,hypnosis,control,hypnosis,6,0,9,0,9,"Nagyon nyugodt, relaxalt, kipihenteto elmeny volt. Ugy ereztem, hogy sikerult kizarni a kulvilagot es befele figyelni","Ez a technika hatasosabbnak bizonyult szamomra az elozonel. Sokkal kipihentebbnek, felfrissultnek eryem magamat, maximalisan a gondolataimba tudtam melyedni. A feherzaj technika engem az ocean megnyugato hangjara emlekeztetett.","Nyugodtnak ereztem magamat, sikerult ellazulni.  Ez a technika szamomra hatasosabbnak bizonyult mint a legelso nem hipnotikus eljaras. Itt a beszedet monotonabbnak iteltem meg, segitett a kulvilag kizarasaban.","Ellazultnak ereztem magamat, itt is segitett a kikapcsolodasban, azonban ugy erzem a feherzaj technika hatasosabbnak biyonzult szamomra, hamrabb el tudtam erni a relaxalt allapotot.",Yes,Az EEG sapka a kiserlet vegere kisse nzomta a fejtetomet.,Female,2,8,1,7,4,Heard/read about it on the internet;,,hun,8,whitenoise,confusion,whitenoise,embedded,relaxation,No,Yes,relaxation,confusion,No,No
8,18 - 24,1,Magyarország,control,hypnosis,hypnosis,control,3,2,7,8,3,"Nagyon elálmosodtam, kis álomképeim voltak. A kézfejeimet nem éreztem, ez jó érzés volt.","Sokkal kevésbé éreztem magam lazának, mint a fehér zajos módszernél.Nem éreztem egyik végtagomnál sem azt az érzést, mint a fehér zajosnál.","Nagyon el tudtam merülni, alig éreztem a testem. Talán a lebegés írja le jól azt az érzést amit éreztem. Kellemes érzés.","Éreztem, hogy néha meg-megbiccen a fejem, nem szándékosan. Nagyon ellazultnak éreztem magam, váltakozó álomképek is meg-megjelentek",No,,Female,2,1,6,6,2,,,hun,8,relaxation,whitenoise,embedded,relaxation,confusion,Yes,No,embedded,confusion,No,No
9,18 - 24,2,Magyarország,hypnosis,hypnosis,control,control,7,8,9,7,5,"Először nem tűnt hatásosnak, ugyanazt véltem érezni, amit egy meditációs gyakorlat során. Kis idő elteltével azonban érzékeltem, hogy a testem sokkal nyugodtabb, ellazultabb, mint bármikor máskor, kifejezetten súlytalannak éreztem magam. Először a lábam, aztán a karjam, végül az arcizmaim is könnyednek, lazának tűntek. Azonban a gondolataim nem szűntek meg áramlani, az figyelmem nem összpontosult csak erre a laza állapotra. Összefoglalva tehát úgy éreztem, a testemre, izmaimra hatott ez az állapot, de az elmémre, mentális folyamataimra kevésbé, bár hozzáteszem, kifejezetten érdekes volt, hogy tényleg abban a pillanatban nyitottam ki a szemem, mikor a \hang\"" kimondta ezt az utasítást.""","Kifejezetten kellemetlen élményt tapasztaltam a fejemben. Mintha blokkolva lett volna valami, nem tudna felszínre törni. Azt éreztem, a \tudatom\""(?) valamibe beleütközik mikor cselekedni akar. Nagyon kényelmetlen és frusztráló érzés volt számomra ezért addig próbálkoztam amíg sikerült végre kizökkennem belőle - kinyitottam a szemem egy pillanatra. Körülbelül 1-2 perc lehetett mire ez valóban sikerült. Nem volt jó ezt érezni hogy nem tudok irányítani...""","Nem éreztem elmélyült, módosult állapotot. De az előtte levő, izmokról szóló szövegre koncentráltan tudtam figyelni, és ez a koncentráltság, úgy éreztem, megmaradt. Kicsit ezt felhasználva a testemre irányítottam a figyelmem. Végig tudatosnak éreztem azt, amit csinálok - gondolok -, úgyhogy ez csak egy kellemes összpontosítás volt számomra.","Ha nem tudnám, hogy ez nem hipnózis volt, azt hinném, hogy hipnózis volt. Teljesen ellazultam, elernyedt a testem. A gondolataimat sikerült gyorsan elhesegetnem, nyugalomban voltam. Mély, pihentető állapot volt ez, talán az alváshoz hasonló.",Yes,Enyhe rosszullétet (közérzetromlást) a második után.,Male,7,9,2,9,4,Read scientific literature about hypnosis;,,hun,8,whitenoise,whitenoise,confusion,embedded,relaxation,Yes,Yes,confusion,relaxation,No,No
10,18 - 24,2,Magyarország,control,hypnosis,hypnosis,control,9,0,4,4,0,"Egy meditációhoz, vagy elalvás előtti állapothoz hasonlított az érzés.","Nyugodtabb állapot volt, mint a kontroll kísérletben. Olyan volt, mintha már majdnem elaludnék, de nem éreztem magam álmosnak közben.","Nem éreztem semmi különöset, olyan volt, mint az előző hipnózisnál.","Nyugodtabb voltam, mint az első kontroll kísérletnél (pontosabban voltak nyugodtabb időszakok).",No,,Female,0,3,3,0,6,Heard/read about it on the internet;Other;,Agimnáziumban tanultam róla egy keveset.,hun,5,whitenoise,relaxation,whitenoise,confusion,embedded,No,Yes,whitenoise,embedded,No,No
